MUN;Nao;Total
220200 BURITI DOS LOPES;299;310
220202 BURITI DOS MONTES;57;58
220205 CABECEIRAS DO PIAUI;111;111
220207 CAJAZEIRAS DO PIAUI;29;29
220208 CAJUEIRO DA PRAIA;128;128
220209 CALDEIRAO GRANDE DO PIAUI;73;74
220210 CAMPINAS DO PIAUI;72;72
220211 CAMPO ALEGRE DO FIDALGO;59;59
220213 CAMPO GRANDE DO PIAUI;75;75
220217 CAMPO LARGO DO PIAUI;97;100
220220 CAMPO MAIOR;504;516
220225 CANAVIEIRA;35;35
220230 CANTO DO BURITI;262;266
220240 CAPITAO DE CAMPOS;124;127
220245 CAPITAO GERVASIO OLIVEIRA;52;52
220250 CARACOL;169;171
220253 CARAUBAS DO PIAUI;69;71
220255 CARIDADE DO PIAUI;61;62
220260 CASTELO DO PIAUI;224;228
220265 CAXINGO;90;91
220270 COCAL;454;461
220271 COCAL DE TELHA;47;47
220272 COCAL DOS ALVES;53;55
220273 COIVARAS;52;52
220275 COLONIA DO GURGUEIA;70;71
220277 COLONIA DO PIAUI;83;83
220280 CONCEICAO DO CANINDE;55;56
220285 CORONEL JOSE DIAS;47;47
220290 CORRENTE;461;463
220300 CRISTALANDIA DO PIAUI;91;92
220310 CRISTINO CASTRO;185;185
220320 CURIMATA;182;182
220323 CURRAIS;66;67
220325 CURRALINHOS;60;63
220327 CURRAL NOVO DO PIAUI;84;86
220330 DEMERVAL LOBAO;193;202
220335 DIRCEU ARCOVERDE;90;90
220340 DOM EXPEDITO LOPES;61;61
220342 DOMINGOS MOURAO;46;48
220345 DOM INOCENCIO;93;95
220350 ELESBAO VELOSO;161;162
220360 ELISEU MARTINS;50;51
220370 ESPERANTINA;614;624
220375 FARTURA DO PIAUI;76;76
220380 FLORES DO PIAUI;47;50
220385 FLORESTA DO PIAUI;18;19
220390 FLORIANO;868;881
220400 FRANCINOPOLIS;46;46
220410 FRANCISCO AYRES;56;56
220415 FRANCISCO MACEDO;30;31
220420 FRANCISCO SANTOS;87;89
220430 FRONTEIRAS;134;134
220435 GEMINIANO;92;93
220440 GILBUES;184;185
220450 GUADALUPE;148;151
220455 GUARIBAS;69;69
220460 HUGO NAPOLEAO;58;63
220465 ILHA GRANDE;154;157
220470 INHUMA;176;179
